"dataset","subtype","patient_id","celltype","cell_count","total_cells","percentage"
"GSE176078_Tumor","TNBC","CID44971","PVL",88,7694,1.14374837535742
"GSE176078_Tumor","TNBC","CID44971","Plasmablasts",46,7694,0.597868468936834
"GSE176078_Tumor","TNBC","CID44971","T-cells",4350,7694,56.537561736418
"GSE176078_Tumor","TNBC","CID44991","B-cells",83,6047,1.3725814453448
"GSE176078_Tumor","TNBC","CID44991","CAFs",244,6047,4.03505870679676
"GSE176078_Tumor","TNBC","CID44991","Cancer Epithelial",3154,6047,52.1580949231024
"GSE176078_Tumor","TNBC","CID44991","Endothelial",37,6047,0.611873656358525
"GSE176078_Tumor","TNBC","CID44991","Myeloid",201,6047,3.32396229535307
"GSE176078_Tumor","TNBC","CID44991","Normal Epithelial",17,6047,0.281131139407971
"GSE176078_Tumor","TNBC","CID44991","PVL",41,6047,0.678022159748636
"GSE176078_Tumor","TNBC","CID44991","Plasmablasts",1418,6047,23.4496444517943
"GSE176078_Tumor","TNBC","CID44991","T-cells",852,6047,14.0896312220936
"GSE176078_Tumor","TNBC","CID4513","B-cells",43,5548,0.775054073540014
"GSE176078_Tumor","TNBC","CID4513","CAFs",11,5548,0.198269646719539
"GSE176078_Tumor","TNBC","CID4513","Cancer Epithelial",997,5548,17.9704397981255
"GSE176078_Tumor","TNBC","CID4513","Endothelial",159,5548,2.86589762076424
"GSE176078_Tumor","TNBC","CID4513","Myeloid",2793,5548,50.3424657534247
"GSE176078_Tumor","TNBC","CID4513","PVL",79,5548,1.42393655371305
"GSE176078_Tumor","TNBC","CID4513","T-cells",1466,5548,26.4239365537131
"GSE176078_Tumor","TNBC","CID4515","B-cells",493,3976,12.3993963782696
"GSE176078_Tumor","TNBC","CID4515","CAFs",183,3976,4.60261569416499
"GSE176078_Tumor","TNBC","CID4515","Cancer Epithelial",2023,3976,50.8802816901408
"GSE176078_Tumor","TNBC","CID4515","Endothelial",120,3976,3.01810865191147
"GSE176078_Tumor","TNBC","CID4515","Myeloid",547,3976,13.7575452716298
"GSE176078_Tumor","TNBC","CID4515","Normal Epithelial",35,3976,0.880281690140845
"GSE176078_Tumor","TNBC","CID4515","PVL",123,3976,3.09356136820926
"GSE176078_Tumor","TNBC","CID4515","Plasmablasts",34,3976,0.85513078470825
"GSE176078_Tumor","TNBC","CID4515","T-cells",418,3976,10.5130784708249
"GSE176078_Tumor","TNBC","CID4523","CAFs",41,1512,2.71164021164021
"GSE176078_Tumor","TNBC","CID4523","Cancer Epithelial",1013,1512,66.9973544973545
"GSE176078_Tumor","TNBC","CID4523","Endothelial",2,1512,0.132275132275132
"GSE176078_Tumor","TNBC","CID4523","Myeloid",271,1512,17.9232804232804
"GSE176078_Tumor","TNBC","CID4523","PVL",10,1512,0.661375661375661
"GSE176078_Tumor","TNBC","CID4523","T-cells",175,1512,11.5740740740741
