pert_id,pert_iname,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,sd_score,positive_fraction,negative_fraction,reproducibility_score,tier,robust_rank,canonical_smiles,inchi_key,inchi_key_prefix,pubchem_cid,chembl_id,pref_name,max_phase,match_status,target_chembl_id,mechanism_of_action,action_type,disease_signature_genes,core_signature_genes,disease_up_genes,disease_down_genes
BRD-K99616396,motesanib,5,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.4191123848207521,0.182751381690227,0.8,0.2,0.24305691652867129,Tier 2 — Strong 4/5+,9,NA,NA,NA,NA,CHEMBL572881,MOTESANIB,3,exact_name_match,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K99616396,motesanib,5,4,1,0.30382114566083906,0.24127577087700225,-0.1123334384427592,0.4191123848207521,0.182751381690227,0.8,0.2,0.24305691652867129,Tier 2 — Strong 4/5+,9,NA,NA,NA,NA,CHEMBL572881,MOTESANIB,3,exact_name_match,CHEMBL2095189,Platelet-derived growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K68191783,ALW-II-38-3,5,4,1,0.29872659510941135,0.14379473253663255,-0.68317635290808,0.41913746902078847,0.4164162182530732,0.8,0.2,0.2389812760875291,Tier 2 — Strong 4/5+,10,NA,NA,NA,NA,CHEMBL3640475,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K49810818,sorafenib,5,3,2,0.3936235697879521,0.2462596945760504,-0.21419834672811455,0.576901727660392,0.34756039348735573,0.6,0.4,0.23617414187277125,Tier 3 — Moderate 3/5+,11,NA,NA,NA,NA,CHEMBL1336,SORAFENIB,4,exact_name_match,NA,NA,NA,454,10,214,240
BRD-K49327517,THZ-2-98-01,5,4,1,0.28917564798090645,0.20655642113067005,-0.2236783976466873,0.5507389751734311,0.2931159105127375,0.8,0.2,0.23134051838472516,Tier 2 — Strong 4/5+,12,NA,NA,NA,NA,CHEMBL4303658,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K25340465,OSI-930,5,3,2,0.36406774111081,0.0938719089230671,-0.657616320372842,0.4567409368546659,0.4793614113790099,0.6,0.4,0.21844064466648597,Tier 3 — Moderate 3/5+,13,NA,NA,NA,NA,CHEMBL1614710,OSI-930,1,exact_name_match,CHEMBL1936,Stem cell growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K25340465,OSI-930,5,3,2,0.36406774111081,0.0938719089230671,-0.657616320372842,0.4567409368546659,0.4793614113790099,0.6,0.4,0.21844064466648597,Tier 3 — Moderate 3/5+,13,NA,NA,NA,NA,CHEMBL1614710,OSI-930,1,exact_name_match,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K33379087,tivantinib,5,5,0,0.213711431585622,0.25011851178186806,0.14092952643648457,0.4762647344152867,0.132604448470181,1,0,0.213711431585622,Tier 1 — Consistent 5/5,14,NA,NA,NA,NA,CHEMBL2103882,TIVANTINIB,3,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K52721289,XMD-1527,5,5,0,0.20579944492316693,0.2206632863910568,0.09359300651619716,0.3943830294019987,0.13080598100670707,1,0,0.20579944492316693,Tier 1 — Consistent 5/5,15,NA,NA,NA,NA,CHEMBL5303523,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K16189898,CHIR-99021,5,4,1,0.24668063112429697,0.20200228191406305,-0.08639319764752505,0.329023962888225,0.16686049586813245,0.8,0.2,0.1973445048994376,Tier 2 — Strong 4/5+,16,NA,NA,NA,NA,CHEMBL412142,LADUVIGLUSIB,1,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K07691486,roscovitine,5,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.3395125744966814,0.8,0.4,0.1929897990408148,Tier 2 — Strong 4/5+,17,NA,NA,NA,NA,CHEMBL14762,SELICICLIB,2,search_match_requires_review,CHEMBL301,Cyclin-dependent kinase 2 inhibitor,INHIBITOR,454,10,214,240
BRD-K07691486,roscovitine,5,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.3395125744966814,0.8,0.4,0.1929897990408148,Tier 2 — Strong 4/5+,17,NA,NA,NA,NA,CHEMBL14762,SELICICLIB,2,search_match_requires_review,CHEMBL3055,Cyclin-dependent kinase 7 inhibitor,INHIBITOR,454,10,214,240
BRD-K07691486,roscovitine,5,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.3395125744966814,0.8,0.4,0.1929897990408148,Tier 2 — Strong 4/5+,17,NA,NA,NA,NA,CHEMBL14762,SELICICLIB,2,search_match_requires_review,CHEMBL3116,Cyclin-dependent kinase 9 inhibitor,INHIBITOR,454,10,214,240
BRD-K07691486,roscovitine,5,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.3395125744966814,0.8,0.4,0.1929897990408148,Tier 2 — Strong 4/5+,17,NA,NA,NA,NA,CHEMBL14762,SELICICLIB,2,search_match_requires_review,CHEMBL308,Cyclin-dependent kinase 1 inhibitor,INHIBITOR,454,10,214,240
BRD-K07691486,roscovitine,5,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.3395125744966814,0.8,0.4,0.1929897990408148,Tier 2 — Strong 4/5+,17,NA,NA,NA,NA,CHEMBL14762,SELICICLIB,2,search_match_requires_review,CHEMBL4036,Cyclin-dependent kinase 5 inhibitor,INHIBITOR,454,10,214,240
BRD-K97764662,PD-173074,5,5,1,0.17988423509591692,0.16723412379255292,-0.1762906081127784,0.455049451336771,0.20578289397092883,1,0.2,0.17988423509591692,Tier 2 — Strong 4/5+,18,NA,NA,NA,NA,CHEMBL189584,PD-173074,NA,exact_name_match,NA,NA,NA,454,10,214,240
BRD-K86274953,XMD-132,5,4,1,0.20926536363049497,0.22104587971228631,-0.01463285784377475,0.5139142838977784,0.2207386029440223,0.8,0.2,0.167412290904396,Tier 2 — Strong 4/5+,19,NA,NA,NA,NA,CHEMBL5303523,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K04833372,GSK-1904529A,5,5,1,0.1620425818232706,0.15179970431985823,-0.1015484279337557,0.3488406575844655,0.1790356922638424,1,0.2,0.1620425818232706,Tier 2 — Strong 4/5+,20,NA,NA,NA,NA,CHEMBL4303308,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K93918653,quizartinib,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.21428627795459532,1,0.2,0.15511930929665405,Tier 2 — Strong 4/5+,21,NA,NA,NA,NA,CHEMBL576982,QUIZARTINIB,4,exact_name_match,CHEMBL1844,Macrophage colony stimulating factor receptor inhibitor,INHIBITOR,454,10,214,240
