"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.23261425908095e-12,1.04866687016745,1,0.875,1.17323834647465e-07,"22","PPIA"
0.00218648608323968,1.04817632633939,0.529,0.345,1,"22","MRPL43"
5.44313456307677e-07,1.04317196689332,0.941,0.726,0.0150878246953925,"22","TAGLN2"
0.00819270738115119,1.04292988679069,0.441,0.291,1,"22","CNIH4"
0.00128588006448727,1.04245851043769,0.529,0.327,1,"22","CLNS1A"
7.50452653353051e-08,1.04196069618073,0.853,0.611,0.00208017970982932,"22","TXN"
9.16237976600343e-08,1.04161838182349,0.412,0.115,0.00253972004733849,"22","SERPINA1"
0.00169925140483329,1.03678478919236,0.471,0.262,1,"22","MARCKS"
1.78979950673508e-05,1.03657657867762,0.706,0.389,0.496114525271897,"22","CNN2"
0.000977105066458872,1.03284807287667,0.588,0.356,1,"22","RAB13"
0.00109025126223705,1.03213096670869,0.382,0.179,1,"22","LYAR"
0.000246991193313839,1.03158904899651,0.647,0.432,1,"22","CAST"
5.23764647208935e-07,1.02776397356215,0.853,0.496,0.0145182322559845,"22","YWHAE"
0.00315102133294598,1.0277283521704,0.382,0.197,1,"22","ANP32E"
0.00636975860910272,1.02525173779524,0.441,0.274,1,"22","PITHD1"
0.000123659444615898,1.02183149093315,0.735,0.504,1,"22","RTN4"
0.00115377274636819,1.00801429609536,0.559,0.356,1,"22","YWHAH"
0.00369447491247654,1.00638606644292,0.5,0.326,1,"22","PRMT1"
6.74973461305406e-05,1.00172611367843,0.765,0.501,1,"22","ARPC5"
3.57081031410189e-11,0.999935345406671,0.971,0.749,9.89792910965903e-07,"22","S100A6"
0.00105391751969885,0.992607950359359,0.412,0.197,1,"22","TPST2"
0.000323012221148389,0.992519001671486,0.324,0.118,1,"22","TNFSF13B"
3.30162159833947e-08,0.990297491735747,0.324,0.073,0.000915176490843717,"22","IGFBP6"
0.00019996786832599,0.989569324753096,0.618,0.344,1,"22","NME2"
3.49522077947029e-09,0.986965705474477,0.941,0.431,9.68840247861369e-05,"22","COTL1"
9.86459581930887e-06,0.986650058664952,0.853,0.615,0.273436731515423,"22","HNRNPC"
0.00222668874544407,0.972026172733959,0.559,0.375,1,"22","AKR1A1"
1.23208433668864e-05,0.970794124247078,0.765,0.473,0.341521457286725,"22","ITGB1"
0.00632342600150726,0.970001534332335,0.5,0.331,1,"22","STAU1"
1.41233463812895e-07,0.9689452450391,0.912,0.563,0.00391485038342965,"22","FKBP1A"
3.94043738025651e-05,0.968125852985785,0.706,0.424,1,"22","EIF3M"
4.97460852777465e-06,0.962751350954571,0.912,0.629,0.137891173781385,"22","SLC25A5"
0.00896223035218413,0.957892997386198,0.382,0.217,1,"22","USP1"
4.47828440997e-11,0.956724464864882,0.941,0.413,1.24133565559958e-06,"22","EGR1"
0,0.95658482033725,0.5,0.071,0,"22","CXCL8"
0.00107148199761231,0.954490693515861,0.618,0.411,1,"22","TBCB"
0.000133364776104594,0.953384545570887,0.647,0.398,1,"22","RPN1"
1.91503701785223e-10,0.951192001482262,0.971,0.625,5.30829110978459e-06,"22","HSPB1"
0.006024697009271,0.95015554796589,0.529,0.385,1,"22","CBX3"
0.00152050515577939,0.949766062556929,0.647,0.437,1,"22","TMEM230"
0.00356439926994367,0.94930989395816,0.588,0.413,1,"22","DEK"
9.44721870066445e-07,0.947712262439552,0.882,0.595,0.0261867455163718,"22","GSTP1"
0.00245278656294778,0.92887584880736,0.441,0.234,1,"22","ADAM15"
0.000623246377543962,0.927606343348707,0.353,0.142,1,"22","HLA-DMB"
2.4562941232098e-06,0.926581317865895,0.824,0.502,0.0680860168012525,"22","LDHB"
0.000620433905033302,0.924037869235404,0.735,0.515,1,"22","NDUFV2"
0.000122457409204468,0.919085723202049,0.706,0.471,1,"22","NOP10"
9.2195852352539e-07,0.919017251947279,0.941,0.72,0.0255557683136003,"22","ARPC2"
0.00429043598424772,0.915423689067562,0.529,0.335,1,"22","RHOG"
0.0089676012352764,0.91303318849344,0.471,0.287,1,"22","CNN3"
0.00842613642239498,0.910546577444715,0.471,0.303,1,"22","EIF2A"
0.00916692479526438,0.907353339981474,0.265,0.122,1,"22","NRP1"
0.00648122880686786,0.906262304863589,0.618,0.456,1,"22","HSBP1"
0.00381982291002347,0.905074804085206,0.5,0.314,1,"22","NME4"
0.000192839871807182,0.903391998608918,0.765,0.506,1,"22","ANP32B"
6.52455867111712e-12,0.901417038809528,0.824,0.292,1.80854241804695e-07,"22","FABP5"
9.7154789813203e-06,0.896223494505188,0.559,0.236,0.269303361883217,"22","CTSS"
9.78177363553101e-08,0.892568784400086,0.412,0.111,0.00271140983403284,"22","BCL2A1"
0.00951764539868583,0.890696053534618,0.412,0.25,1,"22","LRRFIP2"
0.000463282589630021,0.887973913022143,0.735,0.553,1,"22","SERBP1"
0.00265491125550699,0.885376607238037,0.647,0.466,1,"22","ACTR3"
0.00306656374767722,0.882686092389791,0.559,0.393,1,"22","EIF3A"
0.0011819968072655,0.881037288559807,0.647,0.449,1,"22","H2AFV"
0.00674129697412718,0.879788235861898,0.5,0.335,1,"22","RAD21"
1.60201964138906e-07,0.877075497089017,0.971,0.697,0.00444063824396634,"22","MIF"
0.000908491648033749,0.877067895242508,0.647,0.454,1,"22","RAB7A"
0.00843259678287644,0.874893563375096,0.382,0.2,1,"22","ARL4C"
0.00594906236724424,0.874706239508288,0.588,0.431,1,"22","DUT"
1.2701694438455e-06,0.874266201499553,0.853,0.468,0.0352078268139535,"22","CD59"
0.00285480358279822,0.872706706330125,0.588,0.407,1,"22","ATOX1"
2.38966051000489e-05,0.872694618578584,0.794,0.52,0.662389996768255,"22","SNX3"
2.99836033186285e-05,0.871795920870711,0.853,0.598,0.831115500389063,"22","CD99"
0.00314082791108605,0.860581036900384,0.647,0.452,1,"22","NDUFAB1"
0.00238886930399618,0.85826308451616,0.412,0.204,1,"22","C12orf75"
1.41663078467857e-06,0.856885995148284,0.941,0.597,0.0392675887205054,"22","SEPW1"
0.00169602588224982,0.856098109756666,0.618,0.423,1,"22","MRPL41"
8.92708129640596e-12,0.854295629785614,1,0.702,2.47449766455077e-07,"22","CD74"
7.08361084900133e-07,0.852633650341069,0.912,0.524,0.0196350609123468,"22","P4HB"
0.00372899424246631,0.850947229424447,0.559,0.365,1,"22","SHISA5"
0.00484812099294341,0.850705499953813,0.5,0.328,1,"22","MTPN"
0.00963539141740344,0.847133784598855,0.588,0.437,1,"22","ATP5G1"
0.000193219509086795,0.846702164275953,0.765,0.514,1,"22","ATP5J2"
1.49103683746432e-05,0.846347631115585,0.912,0.599,0.413300500976735,"22","RAC1"
0.00836004155171732,0.841721496994257,0.676,0.521,1,"22","RPL17"
8.64176605204214e-05,0.841656181810181,0.853,0.64,1,"22","PTGES3"
0.00974516026311645,0.840984841715797,0.471,0.304,1,"22","POLE4"
0.00431267552271941,0.838659028433462,0.588,0.42,1,"22","VCP"
0.00809135986588294,0.837285583200977,0.5,0.323,1,"22","GNAI2"
3.47971928513768e-05,0.83413404847624,0.794,0.47,0.964543388647314,"22","KDELR1"
0.00214157886094246,0.833678573699755,0.265,0.104,1,"22","MYLK"
0.00127608533069412,0.833667199611351,0.618,0.399,1,"22","SNRPD1"
0.000170792644405227,0.830885347083192,0.676,0.431,1,"22","GHITM"
0.00350521541338678,0.818861745819605,0.588,0.394,1,"22","TCP1"
0.000257892942649551,0.818654493557666,0.765,0.541,1,"22","CAPZB"
5.23869124080534e-06,0.817305412319627,0.853,0.528,0.145211282503883,"22","TUBB4B"
0.00267210276848595,0.816635947749024,0.529,0.319,1,"22","PGRMC1"
1.83909076412192e-07,0.809639795637984,0.971,0.674,0.00509777568906955,"22","S100A10"
0.000123170296297159,0.80894343585581,0.941,0.749,1,"22","RHOA"
0.0059276739089893,0.806924747685484,0.559,0.391,1,"22","RER1"
0.00894694772123561,0.802890420176293,0.559,0.404,1,"22","NDUFA12"
4.09971076287263e-06,0.80064250279393,0.971,0.683,0.113639882636067,"22","LDHA"
4.04787576635535e-06,0.797738576023944,0.971,0.785,0.112203068367604,"22","EEF2"
0.00610192129886467,0.792149274423593,0.559,0.378,1,"22","SYPL1"
0.0018968452616599,0.791486204310766,0.5,0.285,1,"22","PRNP"
0.00839433601084272,0.79091254481147,0.529,0.339,1,"22","MSN"
0.00332238888084624,0.790576379896599,0.618,0.431,1,"22","MLF2"
4.77489159322886e-11,0.777675072420739,1,0.485,1.32355220072711e-06,"22","CST3"
