"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.18608879561681,0.754,0.29,0,"7","CD24"
0,2.15596310082126,0.665,0.23,0,"7","MGST1"
0,2.05630381044483,0.422,0.15,0,"7","S100A14"
0,2.00188655096812,0.378,0.172,0,"7","RAB25"
0,1.99578258052859,0.533,0.416,0,"7","PFDN2"
0,1.98575426683794,0.456,0.191,0,"7","EPCAM"
0,1.96925294956361,0.63,0.229,0,"7","KRT7"
0,1.90568830023828,0.299,0.164,0,"7","PYCR1"
0,1.86429659319944,0.431,0.29,0,"7","HMGA1"
0,1.79597158661688,0.35,0.163,0,"7","SMIM22"
0,1.75907867381768,0.497,0.305,0,"7","NME4"
0,1.74707209221401,0.388,0.246,0,"7","S100A16"
0,1.71211937028274,0.311,0.109,0,"7","CALML5"
0,1.69957233200766,0.45,0.21,0,"7","FXYD3"
0,1.67145010698961,0.269,0.171,0,"7","NQO1"
0,1.66839873176826,0.637,0.432,0,"7","MARCKSL1"
0,1.6680606384885,0.743,0.27,0,"7","KRT18"
0,1.64064370352608,0.661,0.373,0,"7","TSTD1"
0,8.21607053932369,0.94,0.026,0,"8","ACKR1"
0,7.97902248068378,0.467,0.005,0,"8","SELE"
0,7.92408119659124,0.311,0.002,0,"8","RAB3C"
0,7.75883472102432,0.526,0.004,0,"8","SELP"
0,6.89643037176834,0.58,0.008,0,"8","CCL14"
0,6.60949805585393,0.392,0.007,0,"8","TLL1"
0,6.39636637805649,0.316,0.007,0,"8","LHX6"
0,6.0675464873174,0.427,0.014,0,"8","ADM5"
0,6.03490110138294,0.72,0.03,0,"8","ZNF385D"
0,5.87725589455633,0.652,0.022,0,"8","TSPAN7"
0,5.85969079312394,0.367,0.01,0,"8","DOC2B"
0,5.6059987962971,0.914,0.036,0,"8","VWF"
0,5.54054910406038,0.389,0.008,0,"8","MEOX1"
0,5.36811300803639,0.86,0.036,0,"8","RAMP3"
0,5.35157181395342,0.724,0.023,0,"8","CXorf36"
0,5.19810243783414,0.872,0.054,0,"8","AQP1"
0,5.1921710016548,0.281,0.009,0,"8","CYTL1"
0,5.17983162453085,0.45,0.017,0,"8","SLCO2A1"
0,5.09132547001768,0.265,0.013,0,"8","CNTNAP3B"
0,5.06493166538873,0.94,0.049,0,"8","PLVAP"
0,6.27519958731031,0.421,0.007,0,"9","AURKB"
0,6.27040554741521,0.291,0.004,0,"9","HJURP"
0,6.21958943028738,0.255,0.004,0,"9","KIF15"
0,6.16379572106537,0.617,0.015,0,"9","RRM2"
0,6.1524958582839,0.356,0.006,0,"9","DLGAP5"
0,6.1226779367391,0.737,0.026,0,"9","UBE2C"
0,6.08443882236999,0.444,0.01,0,"9","PLK1"
0,6.04127781751868,0.49,0.011,0,"9","ASPM"
0,6.03669828460399,0.3,0.007,0,"9","HIST1H1B"
0,5.88403006544469,0.414,0.009,0,"9","CENPA"
0,5.88320073554402,0.389,0.006,0,"9","SPC25"
0,5.85407849618986,0.406,0.008,0,"9","GTSE1"
0,5.8070813832987,0.462,0.009,0,"9","CCNA2"
0,5.80276058966201,0.679,0.019,0,"9","MKI67"
0,5.73517470928752,0.348,0.007,0,"9","CKAP2L"
0,5.7326811696537,0.341,0.006,0,"9","KIF2C"
0,5.73023301020366,0.428,0.01,0,"9","CDCA3"
0,5.7174568288341,0.32,0.007,0,"9","DEPDC1"
0,5.7173970901828,0.517,0.015,0,"9","PKMYT1"
0,5.66804247064862,0.29,0.006,0,"9","NEK2"
0,9.20498195005233,0.358,0.031,0,"10","IGHV6-1"
0,9.17433034770952,0.394,0.012,0,"10","IGKV3D-11"
0,9.1718344059909,0.313,0.016,0,"10","IGKV1-16"
0,9.05599826535986,0.386,0.012,0,"10","IGKV1-8"
0,8.96174263865569,0.277,0.023,0,"10","CH17-224D4.2"
0,8.82464255247336,0.364,0.03,0,"10","IGLV2-23"
0,8.81473120243858,0.634,0.071,0,"10","IGKV3-15"
0,8.74222738691025,0.426,0.031,0,"10","IGHV3-23"
0,8.73706937348953,0.318,0.005,0,"10","IGKV1D-39"
0,8.6873200800438,0.335,0.008,0,"10","IGKV1-27"
0,8.64686352861364,0.315,0.012,0,"10","IGKV1-17"
0,8.64231019772074,0.864,0.107,0,"10","IGHG1"
0,8.62754246626957,0.34,0.013,0,"10","IGHG2"
0,8.61496650951579,0.439,0.008,0,"10","IGKV1-12"
0,8.60328122481642,0.269,0.009,0,"10","IGKV1-6"
