"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"PHGDH","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.45004467437035,5.26778916895433,26.4563189961221,4.93739962444874e-05,0.00932403623972048,"TNBC_higher"
"CRYAB","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.35403981649262,6.66715463354604,26.304034905554,4.94713858732808e-05,0.00932403623972048,"TNBC_higher"
"ODC1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.90644963003796,5.48698332647722,26.5818925878794,4.9557672255694e-05,0.00932403623972048,"TNBC_higher"
"FHL3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.86173546972842,4.04038564244771,25.8575937349135,5.29106291352955e-05,0.00969198058419002,"TNBC_higher"
"C9orf116","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.69985179625409,5.00038937408557,26.1557304125347,5.31750327808111e-05,0.00969198058419002,"ER_Positive_higher"
"GJA1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-5.52853545167192,5.82477693029039,24.7741622869349,5.63403493596975e-05,0.00993011593307317,"ER_Positive_higher"
"RIBC1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.38923293018218,2.11781920483786,23.8344008459511,5.63632567335321e-05,0.00993011593307317,"ER_Positive_higher"
"TP53I3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.69289492998388,4.40574197754277,25.6832022264757,5.7972392522015e-05,0.00993011593307317,"TNBC_higher"
"S100A4","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.55333077186193,7.62508024221486,25.8642352043849,5.87721523629519e-05,0.00993011593307317,"TNBC_higher"
"CORO1C","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.88220029758777,3.82763284929352,25.6307441729572,5.88011469634143e-05,0.00993011593307317,"TNBC_higher"
"NMI","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.45901360943205,4.84289783929415,25.7962858950508,5.9703509367753e-05,0.00993011593307317,"TNBC_higher"
"TYMS","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.98418530914065,4.06520172187077,25.2296703159979,6.04404827473806e-05,0.00993011593307317,"TNBC_higher"
"TPGS2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.31468699973308,5.92072027775867,25.4822569023034,6.44806603324656e-05,0.0102845076079808,"TNBC_higher"
"NUDT5","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.42607591842402,6.2656538110991,25.4428844155794,6.50367037023904e-05,0.0102845076079808,"TNBC_higher"
"ADA","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.88277759200569,3.34003595963416,24.4538890186481,6.52424828967489e-05,0.0102845076079808,"TNBC_higher"
"CASP1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.60336994332554,3.2830536724885,24.4755703997988,6.72941170966253e-05,0.0104664783457618,"TNBC_higher"
"PCMTD2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.82667910155837,4.45761580101111,24.9028710444361,7.1261816566752e-05,0.0107402995958938,"ER_Positive_higher"
"ANXA2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.79659783126991,9.57825339294028,25.0110724540509,7.15455856127452e-05,0.0107402995958938,"TNBC_higher"
"RP11-379F12.4","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-4.49814641619147,1.95833184294727,22.247389262493,7.18168339888312e-05,0.0107402995958938,"ER_Positive_higher"
