"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"ELFN1-AS1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.81961327669604,1.03834749622887,25.0455410737087,0.00012319585826905,0.0227242007392455,"TNBC_higher"
"NR1D1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.84965176900378,3.58783201018754,25.5612865986709,0.000128594258266339,0.0233761997309376,"Normal_higher"
"SLC28A3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.93717340901843,2.43292439293345,22.681422120214,0.000133904275581835,0.0239937332660423,"Normal_higher"
"AP006222.2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.50929260785312,4.13846385447236,25.8803220253964,0.000136834464232217,0.0241734462656999,"Normal_higher"
"CD3D","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",9.42268362777617,3.09983735483193,23.9994955641667,0.000142716312627325,0.0246233934812004,"TNBC_higher"
"RP11-489E7.4","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.76852531163047,1.66407286996181,22.5219351931544,0.000143443860214164,0.0246233934812004,"Normal_higher"
"ATP6V1B2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.41215987003979,5.34663100654346,25.9288206537977,0.000145270758001182,0.0246233934812004,"Normal_higher"
"CXCL8","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.1646939219027,9.47726958414435,25.8443498888844,0.000149494585664256,0.0250014745064902,"Normal_higher"
"IL6R","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.62442442916936,3.60408559699056,24.6450550262804,0.000159818628214728,0.0263763822854912,"Normal_higher"
"CD8B","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.68961731645609,1.81186311682811,22.1668648803286,0.000162668625332095,0.0264980852927334,"TNBC_higher"
"CDCP1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.21517559568417,5.61959474977703,25.055746112098,0.0001723032258639,0.0277076841283449,"Normal_higher"
"SHOX2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.92318147474508,1.12372622741833,21.4843246242703,0.000183884693924104,0.0291957685555701,"TNBC_higher"
"MRPS18C","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.84077057462623,6.40262400115576,24.3585788375272,0.000197966271738506,0.0306586200889255,"Normal_higher"
