"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"OLAH","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.94922714524056,1.42124625194396,82.8909131110116,4.20726531337631e-08,1.31538396995496e-05,"Normal_higher"
"LOX","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.97136347410934,1.15998425649679,71.1164837185415,4.62758150017202e-08,1.41565504891355e-05,"Normal_higher"
"RAET1L","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.32273255253755,1.48029947370961,95.138244611371,4.71664906015044e-08,1.41565504891355e-05,"Normal_higher"
"GLIPR1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.60967287147839,4.39165650504581,70.1393398113078,5.11115228469938e-08,1.50398161444086e-05,"Normal_higher"
"HDAC9","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.60937605475123,2.05251871178516,71.3472206616351,5.57003362093687e-08,1.57742105004655e-05,"Normal_higher"
"MSN","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.8011477520568,5.06583097299368,84.5385377089115,5.67004085238599e-08,1.57742105004655e-05,"Normal_higher"
"LUCAT1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.03945504859992,3.41057523037967,69.3599957630076,5.67606694892474e-08,1.57742105004655e-05,"Normal_higher"
"TMOD1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.00436013759915,1.80288941143671,68.9396481891676,7.1757395174454e-08,1.95793314433278e-05,"Normal_higher"
"IL23A","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.73340034723488,1.8278283951003,68.5379135359593,8.50193899635446e-08,2.27836783068377e-05,"Normal_higher"
"SGK1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.48663436385722,4.3417421063037,77.027843147527,9.15535630253996e-08,2.41042863214416e-05,"Normal_higher"
"TMPRSS11E","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.29236545450111,1.38079699203234,63.0134794245477,9.47533200097795e-08,2.45166047135649e-05,"Normal_higher"
"LINC01272","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.69413825464879,1.23139226570295,64.0160710365424,1.03093778010165e-07,2.62225140101448e-05,"Normal_higher"
"LONRF2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",4.52004207550815,3.08141703676046,78.2887831173995,1.05630252911641e-07,2.64198867574166e-05,"ER_Positive_higher"
"CARHSP1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.61801840987823,7.94209467493112,78.411663095078,1.19802250084316e-07,2.94733174920546e-05,"Normal_higher"
"FGFBP1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.4469664242851,1.96609729644212,60.856833006348,1.22579105436385e-07,2.96700747626425e-05,"Normal_higher"
"SLCO3A1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.21900576834803,2.11890782913724,63.0330648966492,1.25277029350059e-07,2.98417838008943e-05,"Normal_higher"
"ANXA1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.15620042419553,9.50936660578619,77.4536296457633,1.27346253694111e-07,2.9860706706055e-05,"Normal_higher"
"AKAP12","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.23964802305591,3.58221450834522,64.9773832060952,1.37987231684596e-07,3.16309082350967e-05,"Normal_higher"
"IGFBP3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.78188218963095,6.31791374453488,66.3858481118607,1.39330290206683e-07,3.16309082350967e-05,"Normal_higher"
"VNN3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.38066897317288,3.08143464406809,59.5025245010887,1.41218821333476e-07,3.16309082350967e-05,"Normal_higher"
"CTSV","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.3957151771923,4.10778468659423,61.915803750074,1.4400340243623e-07,3.17802802994192e-05,"Normal_higher"
"TPT1-AS1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.63274386228543,5.7729033399498,75.5198639783081,1.4636567248977e-07,3.18334731457099e-05,"Normal_higher"
"DOK5","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.1372720143405,0.406955776490921,59.4093078974311,1.52583372922272e-07,3.27116953920649e-05,"Normal_higher"
"AGBL4","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",6.51065909079488,1.19972439078374,58.889380258992,1.73054700868372e-07,3.65779140272064e-05,"ER_Positive_higher"
"SOD2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.55223835428872,10.7921981970321,73.7002397735548,1.82720597111096e-07,3.80345351837689e-05,"Normal_higher"
"C15orf62","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.36464543491013,2.54104784154556,62.3510333346943,1.85015064197716e-07,3.80345351837689e-05,"Normal_higher"
"FERMT1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.57181067238569,1.08826054048829,57.1984807812071,2.0828453443362e-07,4.22293245168197e-05,"Normal_higher"
"MALL","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.51725568853693,4.88855724883396,61.4046607417621,2.11813379925921e-07,4.22293245168197e-05,"Normal_higher"
"HMOX1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.37737954089869,7.39852479546641,65.6300191143747,2.13862108567888e-07,4.22293245168197e-05,"Normal_higher"
"C5AR2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",4.64130224335436,1.98027642288258,65.0923300441183,2.26179287285279e-07,4.40814618738984e-05,"ER_Positive_higher"
"CXCL6","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.35708840852069,4.42642674969797,60.1518576542418,2.41059280194472e-07,4.6379187408698e-05,"Normal_higher"
"CALB2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.27286371007583,1.80062438675645,57.0732717816771,2.67475046038853e-07,5.08101014671528e-05,"Normal_higher"
"LY6D","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.48369089080223,4.1952094009302,58.9620950801217,2.72484531559487e-07,5.11146920639153e-05,"Normal_higher"
"MRAS","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.62600279342405,3.16342763838235,55.8485072263872,2.76692268140642e-07,5.12632205924273e-05,"Normal_higher"
"GPR87","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.58709826137257,2.67997711013222,58.3212467510604,2.93565960476056e-07,5.37261508398069e-05,"Normal_higher"
"RARRES1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.05783298180015,9.40465331007561,67.207443683956,2.99181163901114e-07,5.37441387003976e-05,"Normal_higher"
