"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"RSPH9","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-6.07396548424009,1.49310343418304,62.5169658231409,3.75579834301993e-07,0.000833975022067576,"Normal_higher"
"GNAL","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.37571815837804,2.10740063821996,60.6463830245046,3.22360856848925e-07,0.000833975022067576,"Normal_higher"
"PPM1N","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.41749010217793,3.18651677958293,63.4691762325974,5.24298937400832e-07,0.000997890677570184,"Normal_higher"
"CCL4","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",9.47430046927319,2.67235140715856,84.5674215243745,1.23519301624657e-06,0.00205705956943163,"TNBC_higher"
"TEPP","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-6.40415601022122,2.91018538343749,46.3411054756339,1.55358949659501e-06,0.00206984728631353,"Normal_higher"
"BEST1","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.08236319697013,5.13308597530047,64.7181331226012,1.53977827398005e-06,0.00206984728631353,"Normal_higher"
"SLC2A12","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.2951439301593,1.71836900155313,45.7775898037471,2.11967778528716e-06,0.00256731519394371,"Normal_higher"
"MT2A","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.2489349196106,13.0086423203885,61.2298898153043,2.46560009090571e-06,0.00273743250092806,"Normal_higher"
"DSC3","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.6437332284887,4.84531570623114,51.6887359477833,2.87477188361622e-06,0.00294619890810915,"Normal_higher"
"KRT75","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-9.34569943403224,3.13105953967119,50.733344339887,4.31576761850191e-06,0.00393275670478907,"Normal_higher"
"TIMP1","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.50279899643064,11.3653454130747,53.7853785946815,5.01815386785365e-06,0.00393275670478907,"Normal_higher"
"KRT32","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.39693830862505,1.45827181404586,40.464187119634,4.60942211532908e-06,0.00393275670478907,"Normal_higher"
"DDAH1","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",5.17466467658654,3.07369408829684,51.4416006527833,4.81623390451674e-06,0.00393275670478907,"TNBC_higher"
"KLK1","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.66291008053305,1.41258070952038,39.639417416378,6.02851104112079e-06,0.00401589263004262,"Normal_higher"
"NOTCH4","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.05565237114646,3.50230133899917,42.1288109281444,5.99334300471579e-06,0.00401589263004262,"Normal_higher"
"NPC2","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.54540046777053,9.63807181746368,52.1400774345376,5.93448376628903e-06,0.00401589263004262,"Normal_higher"
"C5orf46","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.59371647478133,4.52611703239785,142.363391055264,8.54912743918212e-11,4.87264881808778e-07,"Normal_higher"
"ADGRF1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.71687766800648,3.53097151513784,138.815303937807,9.74075195193132e-11,4.87264881808778e-07,"Normal_higher"
"THEMIS2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.41422893440077,2.73122346819334,163.847982545007,7.40080493254851e-11,4.87264881808778e-07,"Normal_higher"
"PI3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-14.0719089286433,9.67927731219992,142.488726699886,1.81009890636142e-10,4.94710064372136e-07,"Normal_higher"
"C6orf15","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.92600021144919,2.6857371796326,142.872435474492,2.12188756204173e-10,4.94710064372136e-07,"Normal_higher"
"KRT16","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.28068149039492,6.43933588634781,130.654621130129,2.30757010102283e-10,4.94710064372136e-07,"Normal_higher"
"G0S2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.82267065738738,5.14601529167719,145.253038034122,1.43487103631735e-10,4.94710064372136e-07,"Normal_higher"
"KLK6","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.45335707127526,4.50912701742883,126.668565633551,2.75311142923992e-10,5.16449290232543e-07,"Normal_higher"
"CXCL5","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-10.7461100127156,4.66044777051286,127.90685492574,3.55009936572947e-10,5.91959346461134e-07,"Normal_higher"
"VNN1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-10.2907794400231,4.557217337415,108.025968494062,1.05825404022574e-09,1.46176769965443e-06,"Normal_higher"
"S100A2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.52625059663817,7.61611902155502,109.962889436671,1.07146296369686e-09,1.46176769965443e-06,"Normal_higher"
"TLR2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.48587464912418,3.75035001401848,114.389484934473,1.55606810413885e-09,1.94599283656765e-06,"Normal_higher"
"IGF2BP2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.01053029574861,3.32452700807305,102.620610843538,2.0607423176658e-09,2.26749611119017e-06,"Normal_higher"
"LYN","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.32414406345643,4.36862006332406,107.897288207204,2.11534254392366e-09,2.26749611119017e-06,"Normal_higher"
"CLDN10","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.90750952854343,3.26844446563496,118.746279186179,2.58083949578386e-09,2.58204388754856e-06,"Normal_higher"
"KLK7","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.8752780850699,2.54920912559918,93.7778689282435,3.20353296078824e-09,2.82796583191465e-06,"Normal_higher"
"S100A3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.88924028841419,2.24516470209568,97.9947985314459,3.1151631923857e-09,2.82796583191465e-06,"Normal_higher"
"MIA","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.72148194606109,4.5384320402453,101.25650277596,3.72695039028506e-09,3.10724136150043e-06,"Normal_higher"
"AC005152.3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.89159857985704,2.51119545657577,87.6621735288285,5.76960193178127e-09,4.5570745363285e-06,"Normal_higher"
"PPP1R14C","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.13471035413567,3.2446003765102,87.3466026119871,6.92170691353718e-09,4.94638360245012e-06,"Normal_higher"
"LGALS7B","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",9.04367481077169,5.44696889364961,68.197988846169,1.36127864935998e-07,0.00182111857711379,"HER2_Positive_higher"
"PPP1R14C","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",7.27000820068532,2.66750084430463,42.8956331837825,2.45812001243764e-06,0.00920010320127131,"HER2_Positive_higher"
"PSAT1","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",6.53862759186537,2.5015587673018,39.4508026493013,5.38979138628018e-06,0.00920010320127131,"HER2_Positive_higher"
"SOSTDC1","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",5.42402915496596,1.16859836146013,41.9667943374416,3.06273209150574e-06,0.00920010320127131,"HER2_Positive_higher"
"MATK","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",4.08131268614697,0.255479127332892,45.758789978433,1.54573654446578e-06,0.00920010320127131,"HER2_Positive_higher"
"ARHGAP24","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",3.78398510375672,1.56368654544458,39.3959980332377,4.77867643054277e-06,0.00920010320127131,"HER2_Positive_higher"
"PLD1","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",3.75799141296822,1.8962845154398,38.68316216419,5.04347611020493e-06,0.00920010320127131,"HER2_Positive_higher"
"PRRT3-AS1","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",3.26243609416863,3.2357050116864,40.9465432526337,5.50163145538724e-06,0.00920010320127131,"HER2_Positive_higher"
"GPNMB","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",5.3224763925665,4.16882894375445,36.994730892218,7.01350811909911e-06,0.0104251901797009,"HER2_Positive_higher"
"ERBB2","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",3.9191508974111,8.59849007986892,42.2580118084818,8.57952395687599e-06,0.0114028028333716,"HER2_Positive_higher"
"PDSS1","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",2.17919986552259,2.67679567448049,38.1900498868027,9.37590306227293e-06,0.0114028028333716,"HER2_Positive_higher"
"ANXA1","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",4.86432387646264,7.50095497176071,39.2658938126479,1.29554078213878e-05,0.0133321112180405,"HER2_Positive_higher"
"VAV1","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",4.63415762556798,1.38927220571089,34.8690406465247,1.20640134240379e-05,0.0133321112180405,"HER2_Positive_higher"
"BIN2","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",4.27621195401055,1.62266231206026,32.7971917176976,1.67413265537613e-05,0.0159975333311585,"HER2_Positive_higher"
"GSDMC","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",4.59025200456655,2.67492681560403,31.6484414157692,1.8407045517618e-05,0.0164166303289796,"HER2_Positive_higher"
"EPHB6","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",5.16694134596373,2.74140287985354,30.2709389811609,2.62946599402806e-05,0.0179650125306172,"HER2_Positive_higher"
"RP11-88H9.2","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",-4.63816401189018,1.11268180251105,28.6649181899305,3.00193269498141e-05,0.0179650125306172,"ER_Positive_higher"
"NXPH4","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",4.28444878892572,2.54455489171416,29.3649113642962,2.85312105209804e-05,0.0179650125306172,"HER2_Positive_higher"
"CAMK1D","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",4.2175872103166,4.1056194847479,31.1280202624461,2.95205810626973e-05,0.0179650125306172,"HER2_Positive_higher"
"CDH3","Luminal_Epithelial","HER2_Positive","ER_Positive","HER2_Positive vs ER_Positive",3.7753847846677,3.22938509472045,29.7194353827529,3.22290552201235e-05,0.0179650125306172,"HER2_Positive_higher"
"TCN1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-7.65014652733152,5.69258446369377,73.2257353063947,1.45914819495091e-06,0.00459794992152523,"Normal_higher"
"LAMB3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-7.18556775047,6.74604821469835,77.2811193970956,1.31413697305692e-06,0.00459794992152523,"Normal_higher"
"AC005013.5","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.91592250696325,-0.128973814613464,54.7929603405488,1.96614421754172e-06,0.00459794992152523,"HER2_Positive_higher"
"SRPK3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.68825208804771,0.785084725842662,71.9276602180333,7.73581702950332e-07,0.00459794992152523,"HER2_Positive_higher"
"NR4A1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.4628453121319,6.63972916065688,109.64531200959,4.84626301718482e-07,0.00459794992152523,"HER2_Positive_higher"
"EGR4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.81839995227318,0.0453369698975407,60.0549128797603,2.11221954897415e-06,0.00459794992152523,"HER2_Positive_higher"
"TTC6","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",3.59603613437166,2.64568092937889,78.5492398457661,2.5391103793579e-06,0.00473761723782764,"HER2_Positive_higher"
"LAPTM5","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",9.27480156787835,3.47917579957133,52.286669547922,3.3599250846349e-06,0.00487599794782404,"HER2_Positive_higher"
"FKBP1B","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-6.99843634375255,3.12993569565605,59.836125983635,3.14265311921896e-06,0.00487599794782404,"Normal_higher"
"DIO1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",9.49180649621615,3.48813793717888,47.0968907527123,6.5574107057908e-06,0.0077860310207576,"HER2_Positive_higher"
"ATP6V0A4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.96852912704569,1.79242152239413,61.3148752395305,6.46144110113587e-06,0.0077860310207576,"HER2_Positive_higher"
"GS1-259H13.2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-5.56887673317936,1.27997956314946,45.5523101594176,1.02246101066428e-05,0.0111286360502385,"Normal_higher"
"SERPINB8","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-3.65617869712594,3.54550601353408,51.5196454937558,1.14373829425783e-05,0.0114910506625396,"Normal_higher"
"KRT6B","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-9.18012754124701,8.63480723094578,48.7119797173684,1.35079336719164e-05,0.0126019372634929,"Normal_higher"
"ALB","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.52148246346892,0.0287359618399096,38.4612719012353,1.77468052660129e-05,0.0139684146224573,"HER2_Positive_higher"
"ARNTL2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-5.25655208679324,3.50087777118734,44.1910149385187,1.92505522704411e-05,0.0139684146224573,"Normal_higher"
"INHBA","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-5.12076165438513,2.70092276083024,46.6797651960877,1.77105993236236e-05,0.0139684146224573,"Normal_higher"
"HOXA-AS2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-4.43312878730022,1.12933124108184,44.6622730681891,1.8412659057275e-05,0.0139684146224573,"Normal_higher"
"NKAPL","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-7.66047422382442,2.33772298381075,43.56186442258,2.11328921026472e-05,0.0141451235792237,"Normal_higher"
"SOX10","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-7.63707604008617,3.38917531654681,39.4141425260248,2.30956427416878e-05,0.0141451235792237,"Normal_higher"
"PSAT1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",7.67680082817897,4.2534147900033,44.7412422026579,8.66862034745946e-07,0.00252798640882786,"TNBC_higher"
"MTHFD1L","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",6.08934709742265,2.95528787526116,47.0497818197888,5.71746678641789e-07,0.00252798640882786,"TNBC_higher"
"CDCA7","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.51379576155475,2.87131602988754,46.6565223484332,5.73862810520906e-07,0.00252798640882786,"TNBC_higher"
"CDC20","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.87309896923268,3.1470122715432,44.8231146448355,7.31904584615762e-07,0.00252798640882786,"TNBC_higher"
"SLC16A6","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-4.6120058674209,3.38532285417966,37.3423267898288,2.31867873969142e-06,0.00274929690948151,"ER_Positive_higher"
"RGS11","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-4.51028262579926,3.14951532101538,39.3827143574449,1.50442998387065e-06,0.00274929690948151,"ER_Positive_higher"
"BAG2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.29307802891368,3.57616850427171,38.5805270810134,2.3568769048277e-06,0.00274929690948151,"TNBC_higher"
"USB1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.45222365179067,4.69790433470709,46.4467972093966,1.2981692827691e-06,0.00274929690948151,"TNBC_higher"
"PGM1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.83580576771811,5.26765874024169,43.7881576940575,2.05890732081745e-06,0.00274929690948151,"TNBC_higher"
"SSH3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.70298350098919,4.57916589633178,44.6296491884175,1.7465946330498e-06,0.00274929690948151,"ER_Positive_higher"
"CENPW","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.98223107507415,5.22191481579295,39.2056423446587,3.81575228358123e-06,0.00404643185345227,"TNBC_higher"
"PLIN5","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-5.63590403130635,3.94661593238447,34.2905086042059,4.1728283232222e-06,0.00405633686586558,"ER_Positive_higher"
"NFATC4","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-5.07221806871719,4.49687394202698,34.581963216895,4.8381495380103e-06,0.00409303085401854,"ER_Positive_higher"
"CCNB2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.82875339076207,2.48685987168447,34.1595794342627,4.98498676481375e-06,0.00409303085401854,"TNBC_higher"
"EME2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.65063133686511,2.58364188420066,34.5014236626321,5.2632201294709e-06,0.00409303085401854,"ER_Positive_higher"
"CHEK1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.82299596806692,2.7766457489008,34.0328563101801,6.74902445469037e-06,0.00476439774301556,"TNBC_higher"
"MCCC2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.18451093220503,5.88977889790045,36.5752456227852,6.94340005411613e-06,0.00476439774301556,"ER_Positive_higher"
"MRAS","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.41369695296325,3.5675695525175,32.386384198035,8.00487934060185e-06,0.00493926382433202,"TNBC_higher"
"ENO1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.50660374868828,8.79434146268087,35.7743052546462,8.04509324151808e-06,0.00493926382433202,"TNBC_higher"
"HOXB-AS1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-3.13912030737491,2.98671222662701,30.7392320056237,1.1810302866259e-05,0.00674920314119894,"ER_Positive_higher"
"PNMT","Luminal_Epithelial","TNBC","HER2_Positive","TNBC vs HER2_Positive",-6.96032031311355,4.74210604341889,43.2326055452557,2.60020330579155e-06,0.0160016511438412,"HER2_Positive_higher"
