final_rank,pert_id,pert_iname,robust_rank,tier,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,reproducibility_score,identity_confidence,chembl_id,pref_name,mechanisms,action_types,target_ids,mechanism_supported,mechanism_category,biological_evidence_class,final_evidence_score,final_priority
57,BRD-K79404599,enzastaurin,61,Tier 3 — Moderate 3/5+,3,3,0.03446454871938548,0.02566420610454218,-0.21166248507270996,0.02067872923163128,HIGH,CHEMBL300138,ENZASTAURIN,Protein kinase C beta inhibitor,INHIBITOR,CHEMBL3045,TRUE,KINASE,EXPLORATORY,0.2153846153846154,EXPLORATORY
58,BRD-A90451247,KU-60019,55,Tier 3 — Moderate 3/5+,3,2,0.06324465019744968,0.07248857675595352,-0.09178641817404123,0.0379467901184698,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.18461538461538465,EXPLORATORY
59,BRD-K75308783,SAR-245409,60,Tier 3 — Moderate 3/5+,3,2,0.03525318635348,0.00504244324747208,-0.1947130868842479,0.021151911812088,REVIEW,CHEMBL2109635,SAR-566658,Mucin-1 binding agent;Tubulin inhibitor,BINDING AGENT;INHIBITOR,CHEMBL3580494;CHEMBL2095182,TRUE,CYTOSKELETON,EXPLORATORY,0.1769230769230769,EXPLORATORY
60,BRD-K64052750,gefitinib,65,Tier 3 — Moderate 3/5+,3,3,0.01117667465371403,0.05605281917676416,-0.2671490504299298,0.00670600479222841,HIGH,CHEMBL939,GEFITINIB,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,CHEMBL203,TRUE,OTHER / UNCLASSIFIED,EXPLORATORY,0.16153846153846155,EXPLORATORY
61,BRD-K98333955,NVP-AEW541,57,Tier 3 — Moderate 3/5+,3,2,0.04574009321752734,-0.03218103533377398,-0.23383153075160068,0.0274440559305164,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.15384615384615383,EXPLORATORY
62,BRD-K53281329,SYK-inhibitor,59,Tier 3 — Moderate 3/5+,3,2,0.04322310007721161,0.06880459089169033,-0.05214921920567714,0.02593386004632696,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.13846153846153847,EXPLORATORY
63,BRD-K13566078,BMS-345541,66,Tier 3 — Moderate 3/5+,3,3,0.00390663063898021,0.02639180057970789,-0.2319286642993083,0.00234397838338812,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.1,EXPLORATORY
64,BRD-A68739437,NPK76-II-72-1,62,Tier 3 — Moderate 3/5+,3,3,0.02489142928771711,-0.01363692777764798,-0.4671682259569137,0.01493485757263026,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.09615384615384616,EXPLORATORY
65,BRD-K94176593,TWS-119,63,Tier 3 — Moderate 3/5+,3,3,0.02449065218702573,-0.03940530413344465,-0.5244506009691821,0.01469439131221543,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.08461538461538462,EXPLORATORY
66,BRD-K09186807,KIN001-244,64,Tier 3 — Moderate 3/5+,3,3,0.02224171705064764,0.03913431833782386,-0.2488215822107884,0.01334503023038858,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.07307692307692308,EXPLORATORY
