final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority,chembl_id_annotation,pref_name_annotation,max_phase_annotation,match_status,target_chembl_id,mechanism_of_action,action_type
45,BRD-K02123250,JNJ-38877605,52,Tier 3 — Moderate 3/5+,5,3,2,0.08672939841674482,0.07927317344628426,-0.2119330014535452,0.3618378354477976,0.05203763905004689,0.6,CHEMBL2133806,JNJ-38877605,1,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,0.2923076923076923,0.2153846153846154,0,1,1,0.35000000000000003,EXPLORATORY,CHEMBL2133806,JNJ-38877605,1,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR
46,BRD-K59184148,SB-216763,46,Tier 2 — Strong 4/5+,5,4,1,0.08323343431350619,0.12969941185632491,-0.2708959975955597,0.4407212195264071,0.06658674745080495,0.8,CHEMBL102714,SB-216763,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.24615384615384617,0.3076923076923077,0.4,1,0,0.34,EXPLORATORY,CHEMBL102714,SB-216763,NA,exact_name_match,,,
47,BRD-K70511574,HMN-214,53,Tier 3 — Moderate 3/5+,5,3,2,0.0672642331415868,0.01475758824873412,-0.37246086919955,0.39572026291204127,0.04035853988495208,0.6,CHEMBL3991927,HMN-214,1,HIGH,annotated,1,1,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,0.2307692307692308,0.2,0,1,1,0.31538461538461543,EXPLORATORY,CHEMBL3991927,HMN-214,1,exact_name_match,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR
50,BRD-K53972329,ruxolitinib,51,Tier 2 — Strong 4/5+,5,4,2,0.06582477574474717,0.04812639418024084,-0.07788599887074506,0.1792564089145235,0.05265982059579774,0.8,CHEMBL1789941,RUXOLITINIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.2,0.2307692307692308,0.4,1,0,0.2976923076923077,EXPLORATORY,CHEMBL1789941,RUXOLITINIB,4,exact_name_match,,,
53,BRD-A35869383,ibrutinib,56,Tier 3 — Moderate 3/5+,5,3,2,0.05138423362677108,-0.08794103435084605,-0.6337210106469389,0.22782820393682213,0.03083054017606264,0.6,CHEMBL1873475,IBRUTINIB,4,HIGH,annotated,1,1,CHEMBL5251,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,0.16923076923076924,0.15384615384615383,0,1,1,0.2730769230769231,EXPLORATORY,CHEMBL1873475,IBRUTINIB,4,exact_name_match,CHEMBL5251,Tyrosine-protein kinase BTK inhibitor,INHIBITOR
54,BRD-A37704979,SB-203580,54,Tier 2 — Strong 4/5+,5,4,2,0.04788495595599945,4.259578950083221e-4,-0.6475470216388628,0.4679264944340986,0.03830796476479956,0.8,CHEMBL10,SB-203580,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.15384615384615383,0.18461538461538465,0.4,1,0,0.2630769230769231,EXPLORATORY,CHEMBL10,SB-203580,NA,exact_name_match,,,
56,BRD-K02113016,olaparib,58,Tier 2 — Strong 4/5+,5,4,1,0.03405585483832996,0.09571013627678764,-0.11386342124356308,0.3049140291943314,0.02724468387066396,0.8,CHEMBL521686,OLAPARIB,4,HIGH,annotated,1,1,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor",INHIBITOR,0.07692307692307693,0.12307692307692308,0.4,1,1,0.25923076923076926,EXPLORATORY,CHEMBL521686,OLAPARIB,4,exact_name_match,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor",INHIBITOR
57,BRD-K79404599,enzastaurin,61,Tier 3 — Moderate 3/5+,5,3,3,0.03446454871938548,0.02566420610454218,-0.21166248507270996,0.3020071286870456,0.02067872923163128,0.6,CHEMBL300138,ENZASTAURIN,3,HIGH,annotated,1,1,CHEMBL3045,Protein kinase C beta inhibitor,INHIBITOR,0.09230769230769233,0.07692307692307693,0,1,1,0.2153846153846154,EXPLORATORY,CHEMBL300138,ENZASTAURIN,3,exact_name_match,CHEMBL3045,Protein kinase C beta inhibitor,INHIBITOR
60,BRD-K64052750,gefitinib,65,Tier 3 — Moderate 3/5+,5,3,3,0.01117667465371403,0.05605281917676416,-0.2671490504299298,0.28855360402080366,0.00670600479222841,0.6,CHEMBL939,GEFITINIB,4,HIGH,annotated,1,1,CHEMBL203,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,0.01538461538461538,0.01538461538461538,0,1,1,0.16153846153846155,EXPLORATORY,CHEMBL939,GEFITINIB,4,exact_name_match,CHEMBL203,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR
63,BRD-K13566078,BMS-345541,66,Tier 3 — Moderate 3/5+,5,3,3,0.00390663063898021,0.02639180057970789,-0.2319286642993083,0.3633889434734052,0.00234397838338812,0.6,CHEMBL249697,BMS-345541,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0,0,0,1,0,0.1,EXPLORATORY,CHEMBL249697,BMS-345541,NA,exact_name_match,,,
