final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority,chembl_id_annotation,pref_name_annotation,max_phase_annotation,match_status,target_chembl_id,mechanism_of_action,action_type
48,BRD-K82091397,SB-239063,47,Tier 3 — Moderate 3/5+,5,3,2,0.09861347452763648,0.10705311676224635,-0.19444144504398883,0.5102358560743852,0.05916808471658188,0.6,CHEMBL97162,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.38461538461538464,0.2923076923076923,0,0.5,0,0.3153846153846154,EXPLORATORY,CHEMBL97162,NA,NA,search_match_requires_review,,,
49,BRD-K09991945,GSK-3-inhibitor-II,45,Tier 2 — Strong 4/5+,5,4,1,0.0837003236174271,0.1154558059328921,-0.12125910732312,0.42004732967754455,0.06696025889394168,0.8,CHEMBL5723360,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.26153846153846155,0.3230769230769231,0.4,0.5,0,0.3015384615384616,EXPLORATORY,CHEMBL5723360,NA,NA,search_match_requires_review,,,
50,BRD-K53972329,ruxolitinib,51,Tier 2 — Strong 4/5+,5,4,2,0.06582477574474717,0.04812639418024084,-0.07788599887074506,0.1792564089145235,0.05265982059579774,0.8,CHEMBL1789941,RUXOLITINIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.2,0.2307692307692308,0.4,1,0,0.2976923076923077,EXPLORATORY,CHEMBL1789941,RUXOLITINIB,4,exact_name_match,,,
51,BRD-K15592317,CP-466722,48,Tier 3 — Moderate 3/5+,5,3,2,0.0961921223794742,0.05870758496730335,-0.2062941988881643,0.3059762141468618,0.05771527342768452,0.6,CHEMBL4303229,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.3384615384615385,0.27692307692307694,0,0.5,0,0.2884615384615385,EXPLORATORY,CHEMBL4303229,NA,NA,search_match_requires_review,,,
52,BRD-K05870596,XMD-1499,49,Tier 3 — Moderate 3/5+,5,3,2,0.09417920250047272,0.0481247058494131,-0.1580482709097627,0.2595763711513862,0.05650752150028363,0.6,CHEMBL5303523,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.3230769230769231,0.26153846153846155,0,0.5,0,0.27692307692307694,EXPLORATORY,CHEMBL5303523,NA,NA,search_match_requires_review,,,
54,BRD-A37704979,SB-203580,54,Tier 2 — Strong 4/5+,5,4,2,0.04788495595599945,4.259578950083221e-4,-0.6475470216388628,0.4679264944340986,0.03830796476479956,0.8,CHEMBL10,SB-203580,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.15384615384615383,0.18461538461538465,0.4,1,0,0.2630769230769231,EXPLORATORY,CHEMBL10,SB-203580,NA,exact_name_match,,,
55,BRD-K59067695,SU-11274,50,Tier 2 — Strong 4/5+,5,4,1,0.06601856418622658,0.00506828875451109,-0.3463464115535679,0.17117444720460148,0.05281485134898126,0.8,CHEMBL5303414,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.2153846153846154,0.24615384615384617,0.4,0.5,0,0.25923076923076926,EXPLORATORY,CHEMBL5303414,NA,NA,search_match_requires_review,,,
58,BRD-A90451247,KU-60019,55,Tier 3 — Moderate 3/5+,5,3,2,0.06324465019744968,0.07248857675595352,-0.09178641817404123,0.2934288974753171,0.0379467901184698,0.6,CHEMBL2140173,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.18461538461538465,0.16923076923076924,0,0.5,0,0.18461538461538465,EXPLORATORY,CHEMBL2140173,NA,NA,search_match_requires_review,,,
61,BRD-K98333955,NVP-AEW541,57,Tier 3 — Moderate 3/5+,5,3,2,0.04574009321752734,-0.03218103533377398,-0.23383153075160068,0.10316183215963556,0.0274440559305164,0.6,CHEMBL4797365,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.13846153846153847,0.13846153846153847,0,0.5,0,0.15384615384615383,EXPLORATORY,CHEMBL4797365,NA,NA,search_match_requires_review,,,
62,BRD-K53281329,SYK-inhibitor,59,Tier 3 — Moderate 3/5+,5,3,2,0.04322310007721161,0.06880459089169033,-0.05214921920567714,0.23971988342242811,0.02593386004632696,0.6,CHEMBL2204021,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.12307692307692308,0.1076923076923077,0,0.5,0,0.13846153846153847,EXPLORATORY,CHEMBL2204021,NA,NA,search_match_requires_review,,,
63,BRD-K13566078,BMS-345541,66,Tier 3 — Moderate 3/5+,5,3,3,0.00390663063898021,0.02639180057970789,-0.2319286642993083,0.3633889434734052,0.00234397838338812,0.6,CHEMBL249697,BMS-345541,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0,0,0,1,0,0.1,EXPLORATORY,CHEMBL249697,BMS-345541,NA,exact_name_match,,,
64,BRD-A68739437,NPK76-II-72-1,62,Tier 3 — Moderate 3/5+,5,3,3,0.02489142928771711,-0.01363692777764798,-0.4671682259569137,0.4534912760637626,0.01493485757263026,0.6,CHEMBL4112840,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.06153846153846154,0.06153846153846154,0,0.5,0,0.09615384615384616,EXPLORATORY,CHEMBL4112840,NA,NA,search_match_requires_review,,,
65,BRD-K94176593,TWS-119,63,Tier 3 — Moderate 3/5+,5,3,3,0.02449065218702573,-0.03940530413344465,-0.5244506009691821,0.27011973187818283,0.01469439131221543,0.6,CHEMBL405759,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.04615384615384615,0.04615384615384615,0,0.5,0,0.08461538461538462,EXPLORATORY,CHEMBL405759,NA,NA,search_match_requires_review,,,
66,BRD-K09186807,KIN001-244,64,Tier 3 — Moderate 3/5+,5,3,3,0.02224171705064764,0.03913431833782386,-0.2488215822107884,0.3665182317346498,0.01334503023038858,0.6,CHEMBL3663528,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.03076923076923077,0.03076923076923077,0,0.5,0,0.07307692307692308,EXPLORATORY,CHEMBL3663528,NA,NA,search_match_requires_review,,,
