pert_id,pert_iname,cell_lines_tested.x,median_cellline_score,mean_cellline_score,best_cellline_score,worst_cellline_score,compound_rank,cell_lines_tested.y,positive_cell_lines,negative_cell_lines,consistent_reversal,robust_rank
BRD-K66037923,BRD-K66037923,1,0.4968616057764835,0.4968616057764835,0.4968616057764835,0.4968616057764835,81,1,1,0,TRUE,81
BRD-K89961851,BRD-K89961851,1,0.4963242553807326,0.4963242553807326,0.4963242553807326,0.4963242553807326,82,1,1,0,TRUE,82
BRD-K42455570,BRD-K42455570,1,0.4963096652887035,0.4963096652887035,0.4963096652887035,0.4963096652887035,83,1,1,0,TRUE,83
BRD-K26676775,SA-1460192,1,0.4955262917529787,0.4955262917529787,0.4955262917529787,0.4955262917529787,84,1,1,0,TRUE,84
BRD-K15277331,BRD-K15277331,1,0.49357163965729045,0.49357163965729045,0.49357163965729045,0.49357163965729045,85,1,1,0,TRUE,85
BRD-K74797618,MD-049,1,0.49340047419159433,0.49340047419159433,0.49340047419159433,0.49340047419159433,86,1,1,0,TRUE,86
BRD-K29143967,KU-C104140,1,0.4931240457490764,0.4931240457490764,0.4931240457490764,0.4931240457490764,87,1,1,0,TRUE,87
BRD-K96319534,phentermine,1,0.4928110415223248,0.4928110415223248,0.4928110415223248,0.4928110415223248,88,1,1,0,TRUE,88
BRD-K65955264,BRD-K65955264,1,0.4916069695831499,0.4916069695831499,0.4916069695831499,0.4916069695831499,89,1,1,0,TRUE,89
BRD-K18163752,BRD-K18163752,1,0.49111142591977575,0.49111142591977575,0.49111142591977575,0.49111142591977575,90,1,1,0,TRUE,90
BRD-K06712146,YM-90709,1,0.4896956125559672,0.4896956125559672,0.4896956125559672,0.4896956125559672,91,1,1,0,TRUE,91
BRD-K78599730,manumycin-a,1,0.4890395360992391,0.4890395360992391,0.4890395360992391,0.4890395360992391,92,1,1,0,TRUE,92
BRD-K61753121,BRD-K61753121,1,0.48876221077261955,0.48876221077261955,0.48876221077261955,0.48876221077261955,93,1,1,0,TRUE,93
BRD-K42499654,BRD-K42499654,1,0.4866854502315111,0.4866854502315111,0.4866854502315111,0.4866854502315111,94,1,1,0,TRUE,94
BRD-K55536701,BRD-K55536701,1,0.48637757840985496,0.48637757840985496,0.48637757840985496,0.48637757840985496,95,1,1,0,TRUE,95
BRD-M47793593,picrotoxin,1,0.48547351766525393,0.48547351766525393,0.48547351766525393,0.48547351766525393,96,1,1,0,TRUE,96
BRD-K60507178,podophyllotoxin,1,0.48528770109896513,0.48528770109896513,0.48528770109896513,0.48528770109896513,97,1,1,0,TRUE,97
BRD-K82732294,BRD-K82732294,1,0.48456120084525484,0.48456120084525484,0.48456120084525484,0.48456120084525484,98,1,1,0,TRUE,98
BRD-K75514176,BRD-K75514176,1,0.4844343719801139,0.4844343719801139,0.4844343719801139,0.4844343719801139,99,1,1,0,TRUE,99
BRD-K37312348,kenpaullone,1,0.4843267368120936,0.4843267368120936,0.4843267368120936,0.4843267368120936,100,1,1,0,TRUE,100
BRD-K73125384,BRD-K73125384,1,0.4842331965281785,0.4842331965281785,0.4842331965281785,0.4842331965281785,101,1,1,0,TRUE,101
BRD-K71731651,PNU-120596,1,0.48291960347079066,0.48291960347079066,0.48291960347079066,0.48291960347079066,102,1,1,0,TRUE,102
BRD-K28138218,BRD-K28138218,1,0.4828065376704079,0.4828065376704079,0.4828065376704079,0.4828065376704079,103,1,1,0,TRUE,103
BRD-A33084410,5'-guanidinonaltrindole,1,0.48216300473806684,0.48216300473806684,0.48216300473806684,0.48216300473806684,104,1,1,0,TRUE,104
BRD-A91452556,estradiol-cypionate,1,0.48031431180168527,0.48031431180168527,0.48031431180168527,0.48031431180168527,105,1,1,0,TRUE,105
BRD-K90020768,DAC-013,1,0.4793035950846174,0.4793035950846174,0.4793035950846174,0.4793035950846174,106,1,1,0,TRUE,106
BRD-K77390737,xanthohumol,1,0.47845291736431195,0.47845291736431195,0.47845291736431195,0.47845291736431195,107,1,1,0,TRUE,107
BRD-A11263757,azacitidine,1,0.4783989453699937,0.4783989453699937,0.4783989453699937,0.4783989453699937,108,1,1,0,TRUE,108
BRD-K23958338,BRD-K23958338,1,0.47681922407677246,0.47681922407677246,0.47681922407677246,0.47681922407677246,109,1,1,0,TRUE,109
BRD-K73395020,ARP-101,1,0.47602990560303765,0.47602990560303765,0.47602990560303765,0.47602990560303765,110,1,1,0,TRUE,110
BRD-A36066264,estradiol-benzoate,1,0.4752546063235737,0.4752546063235737,0.4752546063235737,0.4752546063235737,111,1,1,0,TRUE,111
BRD-K57030368,SA-424294,1,0.4736316858814491,0.4736316858814491,0.4736316858814491,0.4736316858814491,112,1,1,0,TRUE,112
BRD-K50177987,BRD-K50177987,1,0.4709992516488863,0.4709992516488863,0.4709992516488863,0.4709992516488863,113,1,1,0,TRUE,113
BRD-K42596464,oxolamine,1,0.47030012809147226,0.47030012809147226,0.47030012809147226,0.47030012809147226,114,1,1,0,TRUE,114
BRD-K17203693,BRD-K17203693,1,0.4702542507177618,0.4702542507177618,0.4702542507177618,0.4702542507177618,115,1,1,0,TRUE,115
