"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction","immune_flag","luminal_flag","epithelial_flag"
"NPDC1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.18565713370638,6.65231743305356,17.4060368943442,0.00157106508066703,0.0463198217123975,"HER2_Positive_higher",FALSE,FALSE,FALSE
"CCDC157","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.18405675925176,2.52598625951431,20.8118705077749,0.000821795133065285,0.0379274425193134,"HER2_Positive_higher",FALSE,FALSE,FALSE
"MED11","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.1754723108711,4.87532760435309,21.5894161059968,0.000714818553045845,0.0357710541047195,"Normal_higher",FALSE,FALSE,FALSE
"MAGI3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.16138959883362,3.9713666763719,29.5155121296321,0.000210104429430916,0.0233494514010002,"HER2_Positive_higher",FALSE,FALSE,FALSE
"ATP7A","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.15261754058463,2.52300826727258,20.0804814755925,0.000937970837888481,0.0401666790611851,"HER2_Positive_higher",FALSE,FALSE,FALSE
"CDCP1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.13413389203891,5.99986224395366,17.9753647820746,0.00140509684316661,0.0452453189244772,"Normal_higher",FALSE,FALSE,FALSE
"SSX2IP","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.13260699491116,2.91970469494752,17.4394309491629,0.00156321367902709,0.0461926105469972,"HER2_Positive_higher",FALSE,FALSE,FALSE
"FOXA1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.12876072294729,4.94205896018252,23.9921284357402,0.000479470612561756,0.0315189413230928,"HER2_Positive_higher",FALSE,FALSE,FALSE
"MICA","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.11615094170842,4.87621588828422,18.8980879413885,0.00116935931498782,0.042843242287947,"Normal_higher",FALSE,FALSE,FALSE
"DNAJC3-AS1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.11299933576733,3.89193640237154,22.5698436074826,0.000607999273918862,0.0331106853610584,"HER2_Positive_higher",FALSE,FALSE,FALSE
"SERTAD4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.11173542597129,3.5185973332376,18.1130422950638,0.0013687641738875,0.0449897291236725,"HER2_Positive_higher",FALSE,FALSE,FALSE
"GOLPH3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.11088721036037,6.0294412261731,18.9107745285315,0.00116934430819715,0.042843242287947,"HER2_Positive_higher",FALSE,FALSE,FALSE
"TRIQK","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.08294199087561,4.28356121386856,18.9687454945324,0.00115907400306346,0.0427645919604856,"HER2_Positive_higher",FALSE,FALSE,FALSE
"BCKDHB","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.07964918083667,3.187176060152,26.597622412364,0.000320064754209454,0.0275244246703883,"HER2_Positive_higher",FALSE,FALSE,FALSE
"FAM3C","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.07743332997169,7.06267424375141,18.0911729647804,0.00137178850234994,0.0449897291236725,"Normal_higher",FALSE,FALSE,FALSE
"PSMB6","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.07078143990156,8.18244833564743,20.211453459643,0.000917102532470664,0.0397604957064943,"Normal_higher",FALSE,FALSE,FALSE
"SREBF1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.0674062040693,5.23465141990085,18.4002185992579,0.00129135522650077,0.0445023499032362,"HER2_Positive_higher",FALSE,FALSE,FALSE
"KIAA1468","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.0069054220201,3.26942261593039,20.5605815062282,0.000863241723604744,0.0388786212137985,"HER2_Positive_higher",FALSE,FALSE,FALSE
"B3GALNT1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.00181231184,2.80354012134755,19.8512596740446,0.000980507735513338,0.0406968579849252,"HER2_Positive_higher",FALSE,FALSE,FALSE
"USP53","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.98620653617466,6.1807056981624,20.4014930773773,0.000887624277516318,0.0391489707528652,"Normal_higher",FALSE,FALSE,FALSE
"KIFC3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.98193205338116,2.96989719942392,21.5379647653256,0.000659356560712974,0.0337719844685182,"Normal_higher",FALSE,FALSE,FALSE
"ABCC3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.97999501629106,4.25704549669613,19.4038385726578,0.00105343210254935,0.0415676032972723,"Normal_higher",FALSE,FALSE,FALSE
"SPAG7","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.96767776212167,6.11572660324552,24.0817892743486,0.000473019001761641,0.0313609197056284,"Normal_higher",FALSE,FALSE,FALSE
"CD47","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.93952395261956,7.5072911002051,18.1050867880461,0.00136740424128735,0.0449897291236725,"Normal_higher",FALSE,FALSE,FALSE
"LMBRD2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.93277635861187,2.81502732039744,18.50809296913,0.0012642541452937,0.0443404753468482,"HER2_Positive_higher",FALSE,FALSE,FALSE
"DOPEY2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.92659662046999,3.62487292229542,19.804391170796,0.000991167877212319,0.0406968579849252,"HER2_Positive_higher",FALSE,FALSE,FALSE
"MYDGF","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.91442303761344,8.7072910103229,17.9291901781401,0.00141504026823415,0.0452986297632506,"Normal_higher",FALSE,FALSE,FALSE
"CCDC50","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.90388142160812,5.53268018803715,19.9078045935432,0.000971454358421919,0.0406968579849252,"Normal_higher",FALSE,FALSE,FALSE
"AR","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.89943699766152,4.68316714014718,24.7660354531201,0.00042377305835509,0.029963614190183,"HER2_Positive_higher",FALSE,FALSE,FALSE
"DENND6B","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.87086852520124,2.1889166443171,18.2231718861059,0.00132475770828665,0.0447040141103129,"HER2_Positive_higher",FALSE,FALSE,FALSE
"FAM214A","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.85922277656376,4.36884536167447,23.2409632526957,0.000542897820331037,0.0323780293668661,"HER2_Positive_higher",FALSE,FALSE,FALSE
"PRELID1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.85554995924916,9.11161244995744,17.8752464329764,0.00143006510599177,0.0454283676219455,"Normal_higher",FALSE,FALSE,FALSE
"RANBP10","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.85299070471722,2.68434084830996,18.3463579345967,0.0013028772641717,0.0445468061448864,"HER2_Positive_higher",FALSE,FALSE,FALSE
"MED6","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.85185725373258,4.84815321625748,20.8505573044536,0.000816336743571129,0.0379274425193134,"Normal_higher",FALSE,FALSE,FALSE
"PSMC3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.82898994846985,6.83324392242106,20.342569910889,0.000896220982704746,0.0391489707528652,"Normal_higher",FALSE,FALSE,FALSE
"TMEM241","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.82540704459574,4.33080087855372,17.6662948759678,0.0014942491219819,0.0458131168596374,"HER2_Positive_higher",FALSE,FALSE,FALSE
"PYCR2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.82226792017536,4.53684394246594,16.9290163450579,0.0017262198377486,0.0491201684114041,"Normal_higher",FALSE,FALSE,FALSE
"POLR3D","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.81903666252707,4.38680021728397,17.0547574139104,0.0016784867399847,0.048287919187093,"Normal_higher",FALSE,FALSE,FALSE
"SLC25A16","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.81113795351663,3.38071087469962,18.1855128285852,0.00134885383067555,0.0449441452912552,"HER2_Positive_higher",FALSE,FALSE,FALSE
"SARS","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.80947735603255,6.77926091603789,19.5243494937605,0.00104219360072109,0.0413314488340442,"Normal_higher",FALSE,FALSE,FALSE
"MON2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.79501054813827,3.98822422104147,17.5915509735635,0.00151737980290173,0.0459121001138935,"HER2_Positive_higher",FALSE,FALSE,FALSE
"KAT6B","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.77622573133582,4.21374503608084,29.69766221325,0.000204658080114481,0.0232438189945673,"HER2_Positive_higher",FALSE,FALSE,FALSE
"ZCCHC9","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.7701252958327,4.29400508570669,22.0308872723693,0.000659235346211539,0.0337719844685182,"Normal_higher",FALSE,FALSE,FALSE
"KDM6A","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.76838307345886,3.92162542835677,17.1430655844149,0.00166129165812775,0.0480047131566517,"HER2_Positive_higher",FALSE,FALSE,FALSE
"MRPL2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.76668397821072,5.81649802945858,17.179792780755,0.00164809374506302,0.0479954757951114,"Normal_higher",FALSE,FALSE,FALSE
"MAD2L1BP","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.74180499532323,4.66795423064153,17.4453309119199,0.00155676058263904,0.0461926105469972,"Normal_higher",FALSE,FALSE,FALSE
"PIGQ","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",1.7286916185394,4.04734664598254,25.7925379390956,0.000361595107425304,0.0280284698676022,"HER2_Positive_higher",FALSE,FALSE,FALSE
"EMC7","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.71451949739599,6.49564455643969,19.7398406438614,0.00100141251990298,0.0406968579849252,"Normal_higher",FALSE,FALSE,FALSE
"CISD2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.68409694902798,6.43282473258261,19.8160331741597,0.000987414367282413,0.0406968579849252,"Normal_higher",FALSE,FALSE,FALSE
"SERPINB6","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-1.67149489583282,6.1283357402036,17.9717367253432,0.00140563062163442,0.0452453189244772,"Normal_higher",FALSE,FALSE,FALSE
